DATE,A053RC1Q027SBEA
2011-07-01,1795.846
2011-10-01,1913.534
2012-01-01,2199.909
2012-04-01,2135.981
2012-07-01,2160.051
2012-10-01,2128.47
2013-01-01,2127.093
2013-04-01,2114.721
2013-07-01,2157.51
2013-10-01,2206.766
2014-01-01,2171.327
2014-04-01,2290.948
2014-07-01,2315.635
2014-10-01,2279.979
2015-01-01,2185.428
2015-04-01,2208.945
2015-07-01,2123.057
2015-10-01,1995.626
2016-01-01,2071.8
2016-04-01,2137.312
2016-07-01,2139.392
2016-10-01,2188.432
2017-01-01,2211.787
2017-04-01,2202.282
2017-07-01,2271.793
2017-10-01,2093.142
2018-01-01,2203.383
2018-04-01,2254.954
2018-07-01,2273.248
2018-10-01,2304.476
2019-01-01,2234.596
2019-04-01,2289.342
2019-07-01,2214.949
2019-10-01,2279.536
2020-01-01,1988.819
2020-04-01,1818.89
2020-07-01,2448.448
2020-10-01,2480.094
2021-01-01,2711.312
2021-04-01,3068.988
2021-07-01,3114.936
