DATE,HOUST
2011-11-01,711
2011-12-01,694
2012-01-01,723
2012-02-01,704
2012-03-01,695
2012-04-01,753
2012-05-01,708
2012-06-01,757
2012-07-01,740
2012-08-01,754
2012-09-01,847
2012-10-01,915
2012-11-01,833
2012-12-01,976
2013-01-01,888
2013-02-01,962.0
2013-03-01,1010.0
2013-04-01,835.0
2013-05-01,930.0
2013-06-01,839.0
2013-07-01,880.0
2013-08-01,917.0
2013-09-01,850.0
2013-10-01,925.0
2013-11-01,1100.0
2013-12-01,1002.0
2014-01-01,888.0
2014-02-01,944.0
2014-03-01,970.0
2014-04-01,1043.0
2014-05-01,1007.0
2014-06-01,911.0
2014-07-01,1085.0
2014-08-01,984.0
2014-09-01,1023.0
2014-10-01,1074.0
2014-11-01,1001.0
2014-12-01,1073.0
2015-01-01,1085.0
2015-02-01,886.0
2015-03-01,960.0
2015-04-01,1190.0
2015-05-01,1079.0
2015-06-01,1205.0
2015-07-01,1146.0
2015-08-01,1130.0
2015-09-01,1224.0
2015-10-01,1058.0
2015-11-01,1172.0
2015-12-01,1146.0
2016-01-01,1092.0
2016-02-01,1225.0
2016-03-01,1111.0
2016-04-01,1163.0
2016-05-01,1148.0
2016-06-01,1203.0
2016-07-01,1239.0
2016-08-01,1171.0
2016-09-01,1068.0
2016-10-01,1313.0
2016-11-01,1140.0
2016-12-01,1252.0
2017-01-01,1193.0
2017-02-01,1281.0
2017-03-01,1190.0
2017-04-01,1145.0
2017-05-01,1160.0
2017-06-01,1247.0
2017-07-01,1202.0
2017-08-01,1159.0
2017-09-01,1175.0
2017-10-01,1248.0
2017-11-01,1278.0
2017-12-01,1182.0
2018-01-01,1309.0
2018-02-01,1289.0
2018-03-01,1327.0
2018-04-01,1285.0
2018-05-01,1354.0
2018-06-01,1199.0
2018-07-01,1193.0
2018-08-01,1288.0
2018-09-01,1238.0
2018-10-01,1208.0
2018-11-01,1183.0
2018-12-01,1095.0
2019-01-01,1244.0
2019-02-01,1142.0
2019-03-01,1203.0
2019-04-01,1282.0
2019-05-01,1303.0
2019-06-01,1237.0
2019-07-01,1224.0
2019-08-01,1371.0
2019-09-01,1285.0
2019-10-01,1318.0
2019-11-01,1350.0
2019-12-01,1547.0
2020-01-01,1589.0
2020-02-01,1589.0
2020-03-01,1277.0
2020-04-01,938.0
2020-05-01,1046.0
2020-06-01,1273.0
2020-07-01,1497.0
2020-08-01,1376.0
2020-09-01,1448.0
2020-10-01,1514.0
2020-11-01,1551.0
2020-12-01,1661.0
2021-01-01,1625.0
2021-02-01,1447.0
2021-03-01,1725.0
2021-04-01,1514.0
2021-05-01,1594.0
2021-06-01,1657.0
2021-07-01,1562.0
2021-08-01,1573.0
2021-09-01,1550.0
2021-10-01,1502.0
2021-11-01,1679.0
